"word","zh","en_sentence","zh_sentence"
"pound","磅","He lifted a ten-pound weight at the gym.","他在健身房舉起了十磅重物。"
"gram","公克","One hundred grams of sugar is in the recipe.","食譜中需要一百公克的糖。"
"page","頁","Turn to page twenty in your workbook.","翻到你的作業本第二十頁。"
"dozen","一打（十二個）","She bought a dozen eggs at the market.","她在市場買了一打雞蛋。"
"cent","分（錢）","The candy costs fifty cents.","這顆糖果要價五十分錢。"
"businessman","商人","The businessman traveled abroad for a meeting.","那位商人出國開會。"
"salesman","業務員","The salesman showed us the new product.","業務員向我們展示了新產品。"
"shopkeeper","店主","The shopkeeper greeted every customer with a smile.","店主向每位顧客微笑打招呼。"
"lawyer","律師","She wants to become a lawyer when she grows up.","她長大後想成為律師。"
"dentist","牙醫","I have an appointment with the dentist tomorrow.","我明天有牙醫預約。"
"touch","觸摸；感動","Don't touch the hot pan, it’s too hot.","不要觸摸那個熱鍋，非常燙。"
"headache","頭痛","I have a headache after studying all afternoon.","下午一直念書之後我頭痛。"
"cheer","鼓舞；歡呼","The crowd will cheer for the winning team.","人群會為獲勝的隊伍歡呼。"
"leader","領導者","The leader guided the group up the mountain.","領導者帶領小組爬上山。"
"class leader","班長","The class leader hands out the worksheets.","班長發放工作紙。"
"ready","準備好的","Are you ready for the test?","你準備好考試了嗎？"
"every","每一個的","Every student needs to bring a notebook.","每位學生都需要帶筆記本。"
"kill","殺","The farmer uses a trap to kill weeds.","農夫用陷阱除草。"
"barbecue","烤肉；烤肉野餐","They barbecue chicken in the backyard on weekends.","他們週末在後院烤雞。"
"sidewalk","人行道","Walk on the sidewalk, not in the street.","在人行道上走，不要在人行道外走。"
"middle","中間","Stand in the middle of the stage when you speak.","講話時要站在舞臺中間。"
"bottom","底部","Look at the bottom of the book for the index.","看書底部的索引。"
"shark","鯊魚","We saw a shark in the aquarium tank.","我們在水族館水槽裡看到鯊魚。"
"low","低的","The battery is low, so please charge your tablet.","電池電量低，請為你的平板充電。"
"dead","死亡的","The flowers are dead because you forgot to water them.","你忘了澆水，花都枯死了。"
"slim","苗條的；渺茫的","He has a slim chance of winning the lottery.","他中獎的機會很渺茫。"
"thick","厚的","The book has a thick cover to protect the pages.","這本書有一個厚的書皮來保護頁面。"
"burn","發熱；燃燒","Be careful not to burn your hand on the stove.","小心別把手燙傷在爐子上。"
"tie","繫；打結","Please tie your shoe laces before you run.","跑步前請先把鞋帶繫好。"
"deal","處理","He will deal with the problem after class.","他會在下課後處理這個問題。"
"piece","件；片","Give me one piece of paper, please.","請給我一張紙。"
"into","到…之中","Jump into the water, it's fun to swim!","跳進水裡，游泳很有趣！"
"Internet","網際網路","I research information on the Internet for my report.","我在網際網路上查資料做報告。"
"interview","面談；面試","She has an interview for a summer job tomorrow.","她明天有一個暑期工作的面試。"
